爱, love  
八, eight  
爸爸, father  
杯子, cup  
北京, Beijing  
本, book  
不, no  
不客气, you're welcome  
菜, dish  
茶, tea  
吃, eat  
出租车, taxi  
打电话, make a phone call  
大, big  
的, possessive particle  
点, point  
电脑, computer  
电视, TV  
电影, movie  
东西, thing  
都, all  
读, read  
对不起, sorry  
多, many  
多少, how many  
儿子, son  
二, two  
饭店, restaurant  
飞机, airplane  
分钟, minute  
高兴, happy  
个, individual  
工作, work  
狗, dog  
汉语, Chinese  
好, good  
号, number  
喝, drink  
和, and  
很, very  
后面, behind  
回, return  
会, can  
几, how many  
家, home  
叫, call  
今天, today  
九, nine  
开, open  
看, look  
看见, see  
块, block  
来, come  
老师, teacher  
了, completed  
冷, cold  
里, inside  
六, six  
妈妈, mother  
吗, question particle  
买, buy  
猫, cat  
没关系, it doesn't matter  
没有, none  
米饭, rice  
明天, tomorrow  
名字, name  
哪, which  
哪儿, where  
那, that  
呢, question particle  
能, can  
你, you  
年, year  
女儿, daughter  
朋友, friend  
漂亮, beautiful  
苹果, apple  
七, seven  
钱, money  
前面, ahead  
请, please  
去, go  
热, hot  
人, person  
认识, know  
三, three  
商店, store  
上, on  
上午, morning  
少, few  
谁, who  
什么, what  
十, ten  
时候, time  
是, is  
书, book  
水, water  
水果, fruit  
睡觉, sleep  
说, say  
四, four  
岁, age  
他, he  
她, she  
太, too  
天气, weather  
听, listen  
同学, classmate  
喂, hello  
我, I  
我们, we  
五, five  
喜欢, like  
下, down  
下午, afternoon  
下雨, rain  
先生, Mr.  
现在, now  
想, think  
小, small  
小姐, Miss  
些, some  
写, write  
谢谢, thank you  
星期, week  
学生, student  
学习, study  
学校, school  
一, one  
一点儿, a little  
衣服, clothes  
医生, doctor  
医院, hospital  
椅子, chair  
有, have  
月, month  
在, at  
再见, goodbye  
怎么, how  
怎么样, how about  
这, this  
中国, China  
中午, noon  
住, live  
桌子, table  
字, character  
昨天, yesterday  
做, do  
坐, sit  
吧, modal particle  
白, white  
百, hundred  
帮助, help  
报纸, newspaper  
比, compare  
别, don't  
宾馆, hotel  
长, long  
唱歌, sing  
出, go out  
穿, wear  
次, time  
从, from  
错, wrong  
打篮球, play basketball  
大家, everyone  
但是, but  
到, arrive  
得, structural particle  
等, wait  
弟弟, younger brother  
第一, first  
懂, understand  
对, correct  
房间, room  
非常, very  
服务员, waiter  
高, tall  
告诉, tell  
哥哥, elder brother  
给, give  
公共汽车, bus  
公司, company  
贵, expensive  
还, still  
孩子, child  
好吃, delicious  
黑, black  
红, red  
火车站, train station  
机场, airport  
鸡蛋, egg  
件, item  
觉得, feel  
教室, classroom  
姐姐, elder sister  
介绍, introduce  
进, enter  
近, close  
就, just  
咖啡, coffee  
开始, start  
考试, exam  
可能, maybe  
可以, can  
课, class  
快, fast  
快乐, happy  
累, tired  
离, away  
两, two  
零, zero  
路, road  
旅游, travel  
卖, sell  
慢, slow  
忙, busy  
每, every  
妹妹, younger sister  
门, door  
面条, noodles  
男, male  
您, you (formal)  
牛奶, milk  
女, female  
旁边, beside  
跑步, run  
便宜, cheap  
票, ticket  
妻子, wife  
起床, get up  
千, thousand  
铅笔, pencil  
晴, sunny  
去年, last year  
让, let  
日, day  
上班, go to work  
身体, body  
生病, sick  
生日, birthday  
时间, time  
事情, matter  
手表, watch  
手机, phone  
说话, speak  
送, send  
虽然, although  
所以, so  
它, it  
踢足球, play football  
题, question  
跳舞, dance  
外, outside  
完, finish  
玩儿, play  
晚上, evening  
往, toward  
为什么, why  
问, ask  
问题, question  
西瓜, watermelon  
希望, hope  
洗, wash  
小时, hour  
笑, laugh  
新, new  
姓, surname  
休息, rest  
雪, snow  
颜色, color  
眼睛, eye  
羊肉, mutton  
药, medicine  
要, want  
也, also  
一下, once  
已经, already  
一起, together  
意思, meaning  
因为, because  
阴, cloudy  
游泳, swim  
右边, right side  
鱼, fish  
远, far  
运动, exercise  
再, again  
早上, morning  
丈夫, husband  
找, find  
着, indicating action in progress  
真, really  
正在, in the process of  
知道, know  
准备, prepare  
走, walk  
最, most  
左边, left side  
啊, ah  
阿姨, aunt  
矮, short  
爱好, hobby  
安静, quiet  
把, handle  
班, class  
搬, move  
办法, method  
办公室, office  
半, half  
帮忙, help  
包, bag  
饱, full  
北方, north  
被, by  
鼻子, nose  
比较, compare  
比赛, competition  
笔记本, notebook  
必须, must  
变化, change  
别人, others  
冰箱, refrigerator  
不但, not only  
才, just now  
菜单, menu  
参加, participate  
草, grass  
层, layer  
差, bad  
超市, supermarket  
衬衫, shirt  
成绩, grade  
城市, city  
迟到, late  
除了, except  
船, boat  
春天, spring  
词典, dictionary  
聪明, smart  
打扫, clean  
打算, plan  
带, bring  
担心, worry  
蛋糕, cake  
当然, of course  
灯, light  
地, ground  
地方, place  
地铁, subway  
地图, map  
电梯, elevator  
邮件, email  
东, east  
冬天, winter  
动物, animal  
短, short  
段, paragraph  
锻炼, exercise  
多么, how  
饿, hungry  
耳朵, ear  
而且, moreover  
发, send  
发烧, fever  
发现, discover  
方便, convenient  
放, put  
放心, rest assured  
分, minute  
附近, nearby  
复习, review  
干净, clean  
感冒, cold  
感兴趣, interested  
刚才, just now  
个子, height  
根据, according to  
跟, with  
更, more  
公斤, kilogram  
公园, park  
故事, story  
刮风, windy  
关, close  
关系, relationship  
关心, care about  
关于, about  
国家, country  
过, pass  
过去, past  
还是, still  
害怕, afraid  
黑板, blackboard  
后来, later  
护照, passport  
花, flower  
画, draw  
坏, bad  
欢迎, welcome  
还, return  
环境, environment  
换, change  
黄河, Yellow River  
回答, answer  
会议, meeting  
或者, or  
几乎, almost  
机会, opportunity  
极, extremely  
记得, remember  
季节, season  
检查, check  
简单, simple  
见面, meet  
健康, health  
讲, speak  
教, teach  
角, corner  
脚, foot  
接, receive  
街道, street  
节目, program  
节日, festival  
结婚, marry  
结束, end  
解决, solve  
借, borrow  
经常, often  
经过, pass through  
经理, manager  
久, long (time)  
旧, old  
句子, sentence  
决定, decide  
可爱, cute  
渴, thirsty  
刻, quarter (hour)  
客人, guest  
空调, air conditioner  
口, mouth  
哭, cry  
裤子, pants  
筷子, chopsticks  
蓝, blue  
老, old  
离开, leave  
礼物, gift  
历史, history  
脸, face  
练习, practice  
辆, vehicle  
聊天儿, chat  
了解, understand  
邻居, neighbor  
留学, study abroad  
楼, building  
绿, green  
马, horse  
马上, immediately  
满意, satisfied  
帽子, hat  
米, rice  
面包, bread  
明白, understand  
拿, take  
奶奶, grandmother  
南, south  
难, difficult  
难过, sad  
年级, grade  
年轻, young  
鸟, bird  
努力, strive  
爬山, climb mountains  
盘子, plate  
胖, fat  
皮鞋, leather shoes  
啤酒, beer  
瓶子, bottle  
其实, actually  
其他, other  
奇怪, strange  
骑, ride  
起飞, take off  
起来, get up  
清楚, clear  
请假, ask for leave  
秋, autumn  
裙子, skirt  
然后, then  
热情, enthusiastic  
认为, think  
认真, serious  
容易, easy  
如果, if  
伞, umbrella  
上网, go online  
生气, angry  
声音, sound  
世界, world  
试, try  
瘦, thin  
叔叔, uncle  
舒服, comfortable  
树, tree  
数学, mathematics  
刷牙, brush teeth  
双, pair  
水平, level  
司机, driver  
太阳, sun  
特别, especially  
疼, pain  
提高, improve  
体育, physical education  
甜, sweet  
条, strip  
同事, colleague  
同意, agree  
头发, hair  
突然, suddenly  
图书馆, library  
腿, leg  
完成, complete  
碗, bowl  
万, ten thousand  
忘记, forget  
为, for  
为了, in order to  
位, position  
文化, culture  
西, west  
习惯, habit  
洗手间, restroom  
洗澡, take a bath  
夏, summer  
先, first  
相信, believe  
香蕉, banana  
向, toward  
像, like  
小心, careful  
校长, principal  
新闻, news  
新鲜, fresh  
信用卡, credit card  
行李箱, suitcase  
熊猫, panda  
需要, need  
选择, choose  
要求, require  
爷爷, grandfather  
一定, definitely  
一共, altogether  
一会儿, a while  
一样, same  
以前, before  
一般, generally  
一边, simultaneously  
一直, always  
音乐, music  
银行, bank  
饮料, beverage  
应该, should  
影响, influence  
用, use  
游戏, game  
有名, famous  
又, again  
遇到, meet  
元, yuan  
愿意, willing  
月亮, moon  
越, more  
站, stand  
张, piece  
长, grow  
着急, anxious  
照顾, take care  
照片, photo  
照相机, camera  
只, only  
只有, only if  
中间, middle  
终于, finally  
种, kind  
重要, important  
周末, weekend  
主要, main  
注意, pay attention  
自己, oneself  
自行车, bicycle  
总是, always  
嘴, mouth  
最后, last  
最近, recently  
作业, homework  
中文, Chinese  
